,video_subject,administer,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,image_glob,video_filename,cB_version
0,115-jy115,low,low,h049_M083_STD040.png,5,1,vicarious,99,jy115*L.mp4,jy115t1aaunaff_L.mp4,5
1,095-tv095,high,low,h023_M087_STD034.png,27,5,vicarious,99,tv095*H.mp4,tv095t1afaff_H.mp4,5
2,097-gf097,med,high,h021_M077_STD047.png,12,4,vicarious,99,gf097*M.mp4,gf097t1aiaff_M.mp4,5
3,095-tv095,med,low,h041_M087_STD043.png,21,3,vicarious,99,tv095*M.mp4,tv095t2afaff_M.mp4,5
4,106-nm106,high,low,h005_M097_STD050.png,35,5,vicarious,99,nm106*H.mp4,nm106t1afaff_H.mp4,5
5,066-mg066,med,high,h046_M091_STD041.png,16,4,vicarious,99,mg066*M.mp4,mg066t2aaunaff_M.mp4,5
6,097-gf097,low,high,h035_M095_STD058.png,2,2,vicarious,99,gf097*L.mp4,gf097t2aiunaff_L.mp4,5
7,115-jy115,high,low,h037_M117_STD041.png,25,5,vicarious,99,jy115*H.mp4,jy115t2aaaff_H.mp4,5
8,096-bg096,low,low,h050_M090_STD053.png,7,1,vicarious,99,bg096*L.mp4,bg096t2afunaff_L.mp4,5
9,107-hs107,high,low,h051_M095_STD042.png,33,5,vicarious,99,hs107*H.mp4,hs107t1afaff_H.mp4,5
10,107-hs107,low,high,h004_M095_STD031.png,4,2,vicarious,99,hs107*L.mp4,hs107t2aeunaff_L.mp4,5
11,120-kz120,med,low,h001_M086_STD034.png,13,3,vicarious,99,kz120*M.mp4,kz120t2aeaff_M.mp4,5
12,092-ch092,low,low,h004_M081_STD025.png,9,1,vicarious,99,ch092*L.mp4,ch092t2aeaff_L.mp4,5
13,042-ll042,med,low,h033_M088_STD038.png,17,3,vicarious,99,ll042*M.mp4,ll042t1afunaff_M.mp4,5
14,092-ch092,med,high,h014_M111_STD027.png,22,4,vicarious,99,ch092*M.mp4,ch092t2aaaff_M.mp4,5
15,120-kz120,low,high,h041_M089_STD031.png,0,2,vicarious,99,kz120*L.mp4,kz120t2aaunaff_L.mp4,5
16,066-mg066,high,high,h053_M111_STD044.png,24,6,vicarious,99,mg066*H.mp4,mg066t1aaaff_H.mp4,5
17,042-ll042,high,high,h032_M092_STD048.png,26,6,vicarious,99,ll042*H.mp4,ll042t1aiaff_H.mp4,5
18,097-gf097,high,high,h022_M115_STD033.png,34,6,vicarious,99,gf097*H.mp4,gf097t2aaunaff_H.mp4,5
19,106-nm106,med,high,h010_M069_STD038.png,18,4,vicarious,99,nm106*M.mp4,nm106t2aaunaff_M.mp4,5
20,047-jl047,low,high,h008_M093_STD031.png,10,2,vicarious,99,jl047*L.mp4,jl047t1aaunaff_L.mp4,5
21,106-nm106,low,high,h050_M117_STD044.png,6,2,vicarious,99,nm106*L.mp4,nm106t1aaunaff_L.mp4,5
22,121-vw121,low,high,h024_M088_STD053.png,8,2,vicarious,99,vw121*L.mp4,vw121t1aeaff_L.mp4,5
23,115-jy115,med,high,h036_M095_STD021.png,14,4,vicarious,99,jy115*M.mp4,jy115t1aeaff_M.mp4,5
24,096-bg096,med,low,h024_M085_STD040.png,19,3,vicarious,99,bg096*M.mp4,bg096t2aaaff_M.mp4,5
25,120-kz120,high,high,h027_M085_STD044.png,28,6,vicarious,99,kz120*H.mp4,kz120t2aaaff_H.mp4,5
26,107-hs107,med,high,h037_M121_STD032.png,20,4,vicarious,99,hs107*M.mp4,hs107t2aaaff_M.mp4,5
27,121-vw121,high,high,h052_M114_STD048.png,30,6,vicarious,99,vw121*H.mp4,vw121t1aaaff_H.mp4,5
28,047-jl047,med,low,h011_M070_STD046.png,23,3,vicarious,99,jl047*M.mp4,jl047t1aiunaff_M.mp4,5
29,047-jl047,high,high,h031_M111_STD042.png,32,6,vicarious,99,jl047*H.mp4,jl047t1aiaff_H.mp4,5
30,042-ll042,low,low,h031_M086_STD041.png,11,1,vicarious,99,ll042*L.mp4,ll042t1aaunaff_L.mp4,5
31,095-tv095,low,low,h039_M108_STD050.png,1,1,vicarious,99,tv095*L.mp4,tv095t2aeunaff_L.mp4,5
32,092-ch092,high,low,h052_M089_STD040.png,31,5,vicarious,99,ch092*H.mp4,ch092t2aiaff_H.mp4,5
33,096-bg096,high,low,h012_M093_STD039.png,29,5,vicarious,99,bg096*H.mp4,bg096t1aeaff_H.mp4,5
34,066-mg066,low,low,h022_M074_STD030.png,3,1,vicarious,99,mg066*L.mp4,mg066t2aeunaff_L.mp4,5
35,121-vw121,med,low,h045_M081_STD057.png,15,3,vicarious,99,vw121*M.mp4,vw121t1aiaff_M.mp4,5
