,stimuli_num,administer,match,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,block_num,image_filename,cB_version
0,9,150,same,low,h049_M078_STD045.png,27,5,cognitive,99,2,9_150.jpg,5
1,43,100,different,high,h041_M101_STD039.png,22,4,cognitive,99,2,43_100_R.jpg,5
2,19,100,different,low,h038_M092_STD055.png,19,3,cognitive,99,2,19_100_R.jpg,5
3,45,50,same,low,h031_M092_STD033.png,3,1,cognitive,99,2,45_50.jpg,5
4,27,100,different,low,h025_M104_STD023.png,21,3,cognitive,99,2,27_100_R.jpg,5
5,14,150,same,high,h036_M063_STD040.png,28,6,cognitive,99,2,14_150.jpg,5
6,19,150,different,low,h047_M091_STD038.png,31,5,cognitive,99,2,19_150_R.jpg,5
7,29,100,same,low,h042_M096_STD035.png,13,3,cognitive,99,2,29_100.jpg,5
8,27,50,different,high,h051_M106_STD039.png,10,2,cognitive,99,2,27_50_R.jpg,5
9,9,50,different,high,h050_M081_STD047.png,6,2,cognitive,99,2,9_50_R.jpg,5
10,35,50,same,low,h004_M078_STD045.png,5,1,cognitive,99,2,35_50.jpg,5
11,45,100,same,high,h056_M101_STD029.png,12,4,cognitive,99,2,45_100.jpg,5
12,43,150,different,high,h015_M105_STD050.png,32,6,cognitive,99,2,43_150_R.jpg,5
13,14,100,same,high,h008_M085_STD048.png,16,4,cognitive,99,2,14_100.jpg,5
14,29,150,different,high,h055_M094_STD033.png,34,6,cognitive,99,2,29_150_R.jpg,5
15,28,150,same,high,h020_M085_STD037.png,26,6,cognitive,99,2,28_150.jpg,5
16,28,100,same,high,h028_M106_STD048.png,14,4,cognitive,99,2,28_100.jpg,5
17,45,150,same,low,h046_M108_STD042.png,25,5,cognitive,99,2,45_150.jpg,5
18,6,50,different,low,h011_M085_STD054.png,7,1,cognitive,99,2,6_50_R.jpg,5
19,28,50,same,high,h014_M093_STD052.png,0,2,cognitive,99,2,28_50.jpg,5
20,32,100,different,high,h021_M114_STD050.png,20,4,cognitive,99,2,32_100_R.jpg,5
21,19,50,different,low,h033_M093_STD040.png,11,1,cognitive,99,2,19_50_R.jpg,5
22,32,50,same,low,h041_M097_STD050.png,1,1,cognitive,99,2,32_50.jpg,5
23,6,100,different,high,h048_M093_STD046.png,18,4,cognitive,99,2,6_100_R.jpg,5
24,14,50,different,low,h014_M090_STD042.png,9,1,cognitive,99,2,14_50_R.jpg,5
25,11,150,different,high,h032_M135_STD034.png,30,6,cognitive,99,2,11_150_R.jpg,5
26,32,150,same,high,h035_M088_STD045.png,24,6,cognitive,99,2,32_150.jpg,5
27,29,50,same,high,h054_M090_STD046.png,4,2,cognitive,99,2,29_50.jpg,5
28,6,150,different,low,h030_M107_STD055.png,33,5,cognitive,99,2,6_150_R.jpg,5
29,11,100,same,low,h026_M078_STD049.png,15,3,cognitive,99,2,11_100.jpg,5
30,9,100,same,low,h032_M110_STD034.png,17,3,cognitive,99,2,9_100.jpg,5
31,35,100,different,low,h034_M091_STD041.png,23,3,cognitive,99,2,35_100_R.jpg,5
32,11,50,same,high,h045_M077_STD032.png,2,2,cognitive,99,2,11_50.jpg,5
33,35,150,same,low,h036_M127_STD036.png,29,5,cognitive,99,2,35_150.jpg,5
34,27,150,different,low,h044_M094_STD051.png,35,5,cognitive,99,2,27_150_R.jpg,5
35,43,50,different,high,h044_M093_STD048.png,8,2,cognitive,99,2,43_50_R.jpg,5
