,administer,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,block_num,cB_version
0,48,high,h016.png,0,2,pain,99,1,4
1,48,low,l052.png,7,1,pain,99,1,4
2,48,low,l049.png,11,1,pain,99,1,4
3,49,low,l042.png,13,3,pain,99,1,4
4,48,high,h026.png,4,2,pain,99,1,4
5,50,low,l035.png,33,5,pain,99,1,4
6,48,high,h020.png,10,2,pain,99,1,4
7,49,low,l048.png,23,3,pain,99,1,4
8,49,high,h033.png,20,4,pain,99,1,4
9,49,low,l029.png,15,3,pain,99,1,4
10,48,low,l039.png,1,1,pain,99,1,4
11,48,low,l043.png,3,1,pain,99,1,4
12,49,high,h013.png,14,4,pain,99,1,4
13,49,low,l010.png,21,3,pain,99,1,4
14,49,low,l027.png,19,3,pain,99,1,4
15,50,high,h029.png,26,6,pain,99,1,4
16,50,low,l006.png,35,5,pain,99,1,4
17,48,high,h051.png,2,2,pain,99,1,4
18,48,high,h050.png,6,2,pain,99,1,4
19,50,high,h022.png,30,6,pain,99,1,4
20,50,low,l004.png,29,5,pain,99,1,4
21,50,low,l051.png,31,5,pain,99,1,4
22,48,low,l005.png,9,1,pain,99,1,4
23,50,high,h048.png,24,6,pain,99,1,4
24,48,high,h055.png,8,2,pain,99,1,4
25,49,high,h027.png,12,4,pain,99,1,4
26,50,low,l036.png,25,5,pain,99,1,4
27,50,low,l028.png,27,5,pain,99,1,4
28,48,low,l050.png,5,1,pain,99,1,4
29,50,high,h024.png,28,6,pain,99,1,4
30,49,low,l020.png,17,3,pain,99,1,4
31,49,high,h038.png,16,4,pain,99,1,4
32,49,high,h044.png,22,4,pain,99,1,4
33,49,high,h014.png,18,4,pain,99,1,4
34,50,high,h011.png,32,6,pain,99,1,4
35,50,high,h043.png,34,6,pain,99,1,4
