,administer,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,block_num,cB_version
0,49,low,l042.png,13,3,pain,99,1,4
1,50,low,l049.png,33,5,pain,99,1,4
2,49,low,l010.png,23,3,pain,99,1,4
3,50,high,h044.png,30,6,pain,99,1,4
4,48,low,l022.png,9,1,pain,99,1,4
5,48,low,l054.png,7,1,pain,99,1,4
6,50,low,l036.png,27,5,pain,99,1,4
7,49,low,l016.png,15,3,pain,99,1,4
8,50,low,l055.png,29,5,pain,99,1,4
9,48,low,l019.png,3,1,pain,99,1,4
10,49,low,l017.png,17,3,pain,99,1,4
11,48,high,h026.png,0,2,pain,99,1,4
12,49,low,l051.png,21,3,pain,99,1,4
13,50,low,l040.png,31,5,pain,99,1,4
14,48,high,h033.png,8,2,pain,99,1,4
15,50,high,h013.png,24,6,pain,99,1,4
16,49,high,h048.png,12,4,pain,99,1,4
17,50,low,l046.png,35,5,pain,99,1,4
18,48,high,h029.png,2,2,pain,99,1,4
19,48,low,l039.png,1,1,pain,99,1,4
20,48,low,l026.png,11,1,pain,99,1,4
21,50,high,h023.png,34,6,pain,99,1,4
22,49,high,h018.png,22,4,pain,99,1,4
23,50,high,h053.png,32,6,pain,99,1,4
24,50,low,l047.png,25,5,pain,99,1,4
25,48,high,h019.png,10,2,pain,99,1,4
26,49,high,h049.png,14,4,pain,99,1,4
27,49,high,h041.png,20,4,pain,99,1,4
28,50,high,h032.png,28,6,pain,99,1,4
29,49,high,h022.png,16,4,pain,99,1,4
30,48,high,h016.png,4,2,pain,99,1,4
31,49,high,h027.png,18,4,pain,99,1,4
32,48,high,h021.png,6,2,pain,99,1,4
33,48,low,l032.png,5,1,pain,99,1,4
34,49,low,l001.png,19,3,pain,99,1,4
35,50,high,h010.png,26,6,pain,99,1,4
