,video_subject,administer,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,image_glob,video_filename,cB_version
0,107-hs107,med,high,h047.png,16,4,vicarious,99,hs107*M.mp4,hs107t2aaaff_M.mp4,2
1,120-kz120,med,low,l035.png,13,3,vicarious,99,kz120*M.mp4,kz120t2aeaff_M.mp4,2
2,109-ib109,high,high,h041.png,28,6,vicarious,99,ib109*H.mp4,ib109t1aiaff_H.mp4,2
3,042-ll042,high,low,l033.png,33,5,vicarious,99,ll042*H.mp4,ll042t1aiaff_H.mp4,2
4,092-ch092,med,low,l037.png,19,3,vicarious,99,ch092*M.mp4,ch092t2aaaff_M.mp4,2
5,080-bn080,med,low,l009.png,17,3,vicarious,99,bn080*M.mp4,bn080t1aeaff_M.mp4,2
6,103-jk103,high,low,l025.png,35,5,vicarious,99,jk103*H.mp4,jk103t1aaaff_H.mp4,2
7,123-jh123,high,high,h042.png,24,6,vicarious,99,jh123*H.mp4,jh123t1aeaff_H.mp4,2
8,123-jh123,low,high,h002.png,0,2,vicarious,99,jh123*L.mp4,jh123t1aaunaff_L.mp4,2
9,092-ch092,low,low,l008.png,7,1,vicarious,99,ch092*L.mp4,ch092t2aeaff_L.mp4,2
10,121-vw121,med,high,h056.png,22,4,vicarious,99,vw121*M.mp4,vw121t1aiaff_M.mp4,2
11,080-bn080,high,high,h055.png,30,6,vicarious,99,bn080*H.mp4,bn080t1afaff_H.mp4,2
12,042-ll042,med,high,h045.png,12,4,vicarious,99,ll042*M.mp4,ll042t1afunaff_M.mp4,2
13,064-ak064,low,high,h048.png,2,2,vicarious,99,ak064*L.mp4,ak064t1afunaff_L.mp4,2
14,123-jh123,med,high,h052.png,20,4,vicarious,99,jh123*M.mp4,jh123t2aaaff_M.mp4,2
15,103-jk103,low,high,h051.png,10,2,vicarious,99,jk103*L.mp4,jk103t1aaunaff_L.mp4,2
16,107-hs107,high,low,l032.png,27,5,vicarious,99,hs107*H.mp4,hs107t1afaff_H.mp4,2
17,064-ak064,high,high,h054.png,32,6,vicarious,99,ak064*H.mp4,ak064t1aaaff_H.mp4,2
18,120-kz120,high,low,l027.png,31,5,vicarious,99,kz120*H.mp4,kz120t2aaaff_H.mp4,2
19,097-gf097,high,high,h043.png,26,6,vicarious,99,gf097*H.mp4,gf097t2aaunaff_H.mp4,2
20,109-ib109,med,low,l022.png,23,3,vicarious,99,ib109*M.mp4,ib109t1afaff_M.mp4,2
21,064-ak064,med,low,l021.png,15,3,vicarious,99,ak064*M.mp4,ak064t1aiaff_M.mp4,2
22,103-jk103,med,high,h046.png,18,4,vicarious,99,jk103*M.mp4,jk103t2aaunaff_M.mp4,2
23,121-vw121,low,high,h049.png,4,2,vicarious,99,vw121*L.mp4,vw121t1aeaff_L.mp4,2
24,080-bn080,low,low,l039.png,1,1,vicarious,99,bn080*L.mp4,bn080t1afunaff_L.mp4,2
25,120-kz120,low,high,h050.png,8,2,vicarious,99,kz120*L.mp4,kz120t2aaunaff_L.mp4,2
26,097-gf097,low,high,h044.png,6,2,vicarious,99,gf097*L.mp4,gf097t2aiunaff_L.mp4,2
27,092-ch092,high,high,h040.png,34,6,vicarious,99,ch092*H.mp4,ch092t2aiaff_H.mp4,2
28,109-ib109,low,low,l011.png,3,1,vicarious,99,ib109*L.mp4,ib109t1aiunaff_L.mp4,2
29,042-ll042,low,low,l005.png,5,1,vicarious,99,ll042*L.mp4,ll042t1aaunaff_L.mp4,2
30,097-gf097,med,high,h053.png,14,4,vicarious,99,gf097*M.mp4,gf097t1aiaff_M.mp4,2
31,115-jy115,med,low,l023.png,21,3,vicarious,99,jy115*M.mp4,jy115t1aeaff_M.mp4,2
32,107-hs107,low,low,l034.png,11,1,vicarious,99,hs107*L.mp4,hs107t2aeunaff_L.mp4,2
33,115-jy115,high,low,l026.png,29,5,vicarious,99,jy115*H.mp4,jy115t2aaaff_H.mp4,2
34,121-vw121,high,low,l036.png,25,5,vicarious,99,vw121*H.mp4,vw121t1aaaff_H.mp4,2
35,115-jy115,low,low,l020.png,9,1,vicarious,99,jy115*L.mp4,jy115t1aaunaff_L.mp4,2
