,stimuli_num,administer,match,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,block_num,image_filename,cB_version
0,47,150,same,high,h019.png,24,6,cognitive,99,2,47_150.jpg,3
1,5,50,different,low,l035.png,7,1,cognitive,99,2,5_50_R.jpg,3
2,40,100,same,low,l056.png,15,3,cognitive,99,2,40_100.jpg,3
3,40,50,different,low,l041.png,9,1,cognitive,99,2,40_50_R.jpg,3
4,45,100,same,high,h012.png,16,4,cognitive,99,2,45_100.jpg,3
5,3,50,same,low,l007.png,1,1,cognitive,99,2,3_50.jpg,3
6,3,100,same,low,l014.png,13,3,cognitive,99,2,3_100.jpg,3
7,47,100,different,low,l054.png,23,3,cognitive,99,2,47_100_R.jpg,3
8,47,50,same,high,h038.png,0,2,cognitive,99,2,47_50.jpg,3
9,26,150,same,low,l044.png,25,5,cognitive,99,2,26_150.jpg,3
10,16,150,same,low,l045.png,27,5,cognitive,99,2,16_150.jpg,3
11,37,150,different,low,l019.png,35,5,cognitive,99,2,37_150_R.jpg,3
12,24,150,same,high,h054.png,26,6,cognitive,99,2,24_150.jpg,3
13,16,50,different,high,h011.png,8,2,cognitive,99,2,16_50_R.jpg,3
14,23,100,same,low,l002.png,17,3,cognitive,99,2,23_100.jpg,3
15,3,150,different,low,l055.png,33,5,cognitive,99,2,3_150_R.jpg,3
16,26,50,same,low,l038.png,5,1,cognitive,99,2,26_50.jpg,3
17,40,150,different,high,h045.png,32,6,cognitive,99,2,40_150_R.jpg,3
18,45,150,same,high,h028.png,28,6,cognitive,99,2,45_150.jpg,3
19,37,100,different,high,h021.png,22,4,cognitive,99,2,37_100_R.jpg,3
20,5,100,different,low,l048.png,19,3,cognitive,99,2,5_100_R.jpg,3
21,1,150,different,low,l028.png,31,5,cognitive,99,2,1_150_R.jpg,3
22,5,150,same,low,l005.png,29,5,cognitive,99,2,5_150.jpg,3
23,37,50,different,low,l017.png,11,1,cognitive,99,2,37_50_R.jpg,3
24,24,100,same,high,h041.png,14,4,cognitive,99,2,24_100.jpg,3
25,24,50,different,high,h048.png,10,2,cognitive,99,2,24_50_R.jpg,3
26,11,150,different,high,h025.png,30,6,cognitive,99,2,11_150_R.jpg,3
27,23,50,same,high,h003.png,2,2,cognitive,99,2,23_50.jpg,3
28,1,50,same,high,h055.png,4,2,cognitive,99,2,1_50.jpg,3
29,45,50,different,high,h016.png,6,2,cognitive,99,2,45_50_R.jpg,3
30,1,100,different,high,h022.png,18,4,cognitive,99,2,1_100_R.jpg,3
31,11,100,different,high,h010.png,20,4,cognitive,99,2,11_100_R.jpg,3
32,11,50,same,low,l003.png,3,1,cognitive,99,2,11_50.jpg,3
33,16,100,different,low,l049.png,21,3,cognitive,99,2,16_100_R.jpg,3
34,23,150,different,high,h007.png,34,6,cognitive,99,2,23_150_R.jpg,3
35,26,100,same,high,h056.png,12,4,cognitive,99,2,26_100.jpg,3
