,Unnamed: 0,stimuli_num,administer,match,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,block_num,image_filename,cB_version,ISI1,ISI2
0,0,15,50,same,low,l030.png,1,1,cognitive,99,2,15_50.jpg,2,0.1131,0.2112
1,1,35,50,different,high,h055.png,8,2,cognitive,99,2,35_50_R.jpg,2,4.0,0.1717
2,2,15,100,same,high,h027.png,16,4,cognitive,99,2,15_100.jpg,2,3.9122,0.666
3,3,6,150,different,high,h019.png,34,6,cognitive,99,2,6_150_R.jpg,2,1.2743,0.2112
4,4,47,50,same,high,h031.png,2,2,cognitive,99,2,47_50.jpg,2,0.3405,0.4371
5,5,4,150,same,high,h037.png,26,6,cognitive,99,2,4_150.jpg,2,4.0,2.0
6,6,9,50,different,low,l046.png,11,1,cognitive,99,2,9_50_R.jpg,2,4.0,0.4371
7,7,30,50,different,high,h020.png,10,2,cognitive,99,2,30_50_R.jpg,2,4.0,0.4813
8,8,23,50,same,high,h029.png,0,2,cognitive,99,2,23_50.jpg,2,0.1922,0.3479
9,9,23,150,different,low,l024.png,35,5,cognitive,99,2,23_150_R.jpg,2,1.8553,1.1451
10,10,38,100,different,low,l036.png,21,3,cognitive,99,2,38_100_R.jpg,2,1.8553,0.3368
11,11,30,150,same,low,l028.png,25,5,cognitive,99,2,30_150.jpg,2,3.8918,0.6294
12,12,9,100,same,low,l039.png,15,3,cognitive,99,2,9_100.jpg,2,4.0,0.7379
13,13,43,100,different,high,h002.png,18,4,cognitive,99,2,43_100_R.jpg,2,1.01,0.3571
14,14,4,100,different,low,l026.png,19,3,cognitive,99,2,4_100_R.jpg,2,3.3332,0.1468
15,15,8,100,same,low,l020.png,17,3,cognitive,99,2,8_100.jpg,2,4.0,1.5765
16,16,8,50,different,low,l007.png,9,1,cognitive,99,2,8_50_R.jpg,2,4.0,0.8976
17,17,35,150,different,high,h022.png,32,6,cognitive,99,2,35_150_R.jpg,2,4.0,0.3571
18,18,47,100,same,high,h001.png,14,4,cognitive,99,2,47_100.jpg,2,0.0242,0.2112
19,19,6,100,different,low,l050.png,23,3,cognitive,99,2,6_100_R.jpg,2,4.0,0.5052
20,20,6,50,same,low,l056.png,5,1,cognitive,99,2,6_50.jpg,2,4.0,0.3479
21,21,38,150,same,low,l042.png,29,5,cognitive,99,2,38_150.jpg,2,0.0242,0.7379
22,22,38,50,same,low,l003.png,3,1,cognitive,99,2,38_50.jpg,2,2.5729,0.2114
23,23,43,150,different,high,h003.png,30,6,cognitive,99,2,43_150_R.jpg,2,1.9152,0.1468
24,24,15,150,different,low,l032.png,31,5,cognitive,99,2,15_150_R.jpg,2,1.9152,2.0
25,25,47,150,same,high,h040.png,28,6,cognitive,99,2,47_150.jpg,2,0.0242,1.5765
26,26,9,150,same,high,h052.png,24,6,cognitive,99,2,9_150.jpg,2,1.8555,0.0623
27,27,43,50,same,high,h007.png,4,2,cognitive,99,2,43_50.jpg,2,3.8918,0.4715
28,28,4,50,different,high,h048.png,6,2,cognitive,99,2,4_50_R.jpg,2,1.9152,2.0
29,29,3,150,different,low,l001.png,33,5,cognitive,99,2,3_150_R.jpg,2,4.0,0.6294
30,30,35,100,same,high,h023.png,12,4,cognitive,99,2,35_100.jpg,2,2.1617,0.3571
31,31,8,150,same,low,l002.png,27,5,cognitive,99,2,8_150.jpg,2,2.6963,0.4371
32,32,23,100,same,low,l019.png,13,3,cognitive,99,2,23_100.jpg,2,0.4845,0.0208
33,33,3,100,different,high,h024.png,20,4,cognitive,99,2,3_100_R.jpg,2,0.3405,0.5814
34,34,30,100,different,high,h009.png,22,4,cognitive,99,2,30_100_R.jpg,2,1.272,0.666
35,35,3,50,different,low,l035.png,7,1,cognitive,99,2,3_50_R.jpg,2,2.0503,0.7379
