,Unnamed: 0,index,block,Trial type,cue,stimulus_intensity,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue_image,stim_num,same_diff,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,46,60,6,3.0,low_cue,high_stim,1.7,6.4,7.1,0.6,1.0,4.0,9.0,4.0,l031.png,11,same,0.6,1.6,3.3,7.3,13.7,22.7,29.799999999999997,33.8
1,34,61,6,5.0,high_cue,med_stim,2.1,4.5,9.4,9.4,1.0,4.0,9.0,4.0,h036.png,23,same,43.199999999999996,44.199999999999996,46.3,50.3,54.8,63.8,73.19999999999999,77.19999999999999
2,58,62,6,1.0,low_cue,low_stim,2.1,0.5,0.5,0.7,1.0,4.0,9.0,4.0,l007.png,21,diff,77.89999999999999,78.89999999999999,80.99999999999999,84.99999999999999,85.49999999999999,94.49999999999999,94.99999999999999,98.99999999999999
3,59,63,6,1.0,low_cue,low_stim,0.5,0.8,9.1,8.5,1.0,4.0,9.0,4.0,l004.png,23,diff,107.49999999999999,108.49999999999999,108.99999999999999,112.99999999999999,113.79999999999998,122.79999999999998,131.89999999999998,135.89999999999998
4,22,64,6,4.0,high_cue,low_stim,2.1,3.7,3.0,5.1,1.0,4.0,9.0,4.0,h032.png,25,same,140.99999999999997,141.99999999999997,144.09999999999997,148.09999999999997,151.79999999999998,160.79999999999998,163.79999999999998,167.79999999999998
5,35,65,6,5.0,high_cue,med_stim,1.0,0.5,2.8,0.7,1.0,4.0,9.0,4.0,h043.png,11,diff,168.49999999999997,169.49999999999997,170.49999999999997,174.49999999999997,174.99999999999997,183.99999999999997,186.79999999999998,190.79999999999998
6,23,66,6,4.0,high_cue,low_stim,1.0,7.0,3.6,7.5,1.0,4.0,9.0,4.0,h023.png,23,same,198.29999999999998,199.29999999999998,200.29999999999998,204.29999999999998,211.29999999999998,220.29999999999998,223.89999999999998,227.89999999999998
7,47,67,6,3.0,low_cue,high_stim,1.5,8.0,2.1,4.1,1.0,4.0,9.0,4.0,l044.png,21,diff,231.99999999999997,232.99999999999997,234.49999999999997,238.49999999999997,246.49999999999997,255.49999999999997,257.59999999999997,261.59999999999997
8,70,68,6,2.0,low_cue,med_stim,2.1,5.7,3.1,0.7,1.0,4.0,9.0,4.0,l030.png,13,diff,262.29999999999995,263.29999999999995,265.4,269.4,275.09999999999997,284.09999999999997,287.2,291.2
9,71,69,6,2.0,low_cue,med_stim,0.9,7.7,3.6,1.5,1.0,4.0,9.0,4.0,l052.png,33,same,292.7,293.7,294.59999999999997,298.59999999999997,306.3,315.3,318.9,322.9
10,10,70,6,6.0,high_cue,high_stim,1.7,1.4,0.5,12.2,1.0,4.0,9.0,4.0,h039.png,42,diff,335.09999999999997,336.09999999999997,337.79999999999995,341.79999999999995,343.2,352.2,352.7,356.7
11,11,71,6,6.0,high_cue,high_stim,1.2,7.7,9.1,3.1,1.0,4.0,9.0,4.0,h033.png,20,diff,359.8,360.8,362.0,366.0,373.7,382.7,391.8,395.8
