,Unnamed: 0,index,block,Trial type,cue,stimulus_intensity,ITI,Event1Dur,ISI1,Event2Dur,ISI2,Event3Dur,ISI3,Event4Dur,cue_image,stim_num,same_diff,image_filename,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,0,0,1,6.0,high_cue,high_stim,2.9,1.0,1.6,4.0,0.6,9.0,2.0,4.0,h004.png,44,diff,44_150_R.jpg,2.9,3.9,5.5,9.5,10.1,19.1,21.1,25.1
1,36,1,1,3.0,low_cue,high_stim,1.1,1.0,2.0,4.0,5.9,9.0,4.3,4.0,l048.png,10,diff,10_150_R.jpg,26.200000000000003,27.200000000000003,29.200000000000003,33.2,39.1,48.1,52.400000000000006,56.400000000000006
2,37,2,1,3.0,low_cue,high_stim,0.6,1.0,1.4,4.0,1.0,9.0,5.5,4.0,l019.png,23,diff,23_150_R.jpg,57.00000000000001,58.00000000000001,59.400000000000006,63.400000000000006,64.4,73.4,78.9,82.9
3,1,3,1,6.0,high_cue,high_stim,9.2,1.0,1.4,4.0,1.2,9.0,3.9,4.0,h049.png,33,diff,33_150_R.jpg,92.10000000000001,93.10000000000001,94.5,98.5,99.7,108.7,112.60000000000001,116.60000000000001
4,48,4,1,1.0,low_cue,low_stim,0.6,1.0,2.0,4.0,11.2,9.0,4.3,4.0,l010.png,22,same,22_50.jpg,117.2,118.2,120.2,124.2,135.4,144.4,148.7,152.7
5,12,5,1,4.0,high_cue,low_stim,6.9,1.0,2.0,4.0,19.7,9.0,9.7,4.0,h041.png,10,same,10_50.jpg,159.6,160.6,162.6,166.6,186.29999999999998,195.29999999999998,205.0,209.0
6,60,6,1,2.0,low_cue,med_stim,3.6,1.0,1.2,4.0,3.4,9.0,6.6,4.0,l053.png,9,same,9_100.jpg,212.6,213.6,214.8,218.8,222.2,231.2,237.8,241.8
7,24,7,1,5.0,high_cue,med_stim,7.1,1.0,1.6,4.0,0.6,9.0,2.2,4.0,h033.png,33,diff,33_100_R.jpg,248.9,249.9,251.5,255.5,256.1,265.1,267.3,271.3
8,25,8,1,5.0,high_cue,med_stim,5.9,1.0,0.9,4.0,2.0,9.0,2.4,4.0,h017.png,10,same,10_100.jpg,277.2,278.2,279.1,283.1,285.1,294.1,296.5,300.5
9,61,9,1,2.0,low_cue,med_stim,5.1,1.0,2.0,4.0,1.6,9.0,5.5,4.0,l028.png,17,same,17_100.jpg,305.6,306.6,308.6,312.6,314.2,323.2,328.7,332.7
10,13,10,1,4.0,high_cue,low_stim,5.6,1.0,0.9,4.0,5.9,9.0,2.8,4.0,h054.png,17,diff,17_50_R.jpg,338.3,339.3,340.2,344.2,350.09999999999997,359.09999999999997,361.9,365.9
11,49,11,1,1.0,low_cue,low_stim,5.6,1.0,0.9,4.0,0.8,9.0,5.0,4.0,l011.png,10,diff,10_50_R.jpg,371.5,372.5,373.4,377.4,378.2,387.2,392.2,396.2
