,Unnamed: 0,index,block,Trial type,cue,stimulus_intensity,ITI,Event1Dur,ISI1,Event2Dur,ISI2,Event3Dur,ISI3,Event4Dur,cue_image,stim_num,same_diff,image_filename,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,10,60,6,6.0,high_cue,high_stim,8.5,1.0,1.9,4.0,1.1,9.0,4.4,4.0,h035.png,14,same,14_150.jpg,8.5,9.5,11.4,15.4,16.5,25.5,29.9,33.9
1,46,61,6,3.0,low_cue,high_stim,7.6,1.0,1.9,4.0,8.2,9.0,2.3,4.0,l047.png,14,diff,14_150_R.jpg,41.5,42.5,44.4,48.4,56.599999999999994,65.6,67.9,71.9
2,11,62,6,6.0,high_cue,high_stim,6.0,1.0,2.0,4.0,2.3,9.0,1.6,4.0,h010.png,35,diff,35_150_R.jpg,77.9,78.9,80.9,84.9,87.2,96.2,97.80000000000001,101.80000000000001
3,70,63,6,2.0,low_cue,med_stim,1.0,1.0,0.8,4.0,1.1,9.0,4.6,4.0,l022.png,26,diff,26_100_R.jpg,102.80000000000001,103.80000000000001,104.60000000000001,108.60000000000001,109.70000000000002,118.70000000000002,123.30000000000001,127.30000000000001
4,22,64,6,4.0,high_cue,low_stim,3.7,1.0,0.8,4.0,6.3,9.0,4.6,4.0,h049.png,28,same,28_50.jpg,131.0,132.0,132.8,136.8,143.10000000000002,152.10000000000002,156.70000000000002,160.70000000000002
5,34,65,6,5.0,high_cue,med_stim,6.0,1.0,1.9,4.0,8.5,9.0,2.8,4.0,h034.png,22,same,22_100.jpg,166.70000000000002,167.70000000000002,169.60000000000002,173.60000000000002,182.10000000000002,191.10000000000002,193.9,197.9
6,47,66,6,3.0,low_cue,high_stim,3.7,1.0,1.9,4.0,5.1,9.0,3.0,4.0,l030.png,7,same,7_150.jpg,201.6,202.6,204.5,208.5,213.6,222.6,225.6,229.6
7,23,67,6,4.0,high_cue,low_stim,1.9,1.0,0.9,4.0,2.7,9.0,3.8,4.0,h045.png,22,same,22_50.jpg,231.5,232.5,233.4,237.4,240.1,249.1,252.9,256.9
8,58,68,6,1.0,low_cue,low_stim,7.0,1.0,0.8,4.0,6.3,9.0,1.2,4.0,l002.png,44,same,44_50.jpg,263.9,264.9,265.7,269.7,276.0,285.0,286.2,290.2
9,35,69,6,5.0,high_cue,med_stim,1.8,1.0,1.5,4.0,4.6,9.0,2.3,4.0,h008.png,7,diff,7_100_R.jpg,292.0,293.0,294.5,298.5,303.09999999999997,312.09999999999997,314.4,318.4
10,71,70,6,2.0,low_cue,med_stim,5.9,1.0,1.9,4.0,6.9,9.0,11.6,4.0,l027.png,19,same,19_100.jpg,324.29999999999995,325.29999999999995,327.2,331.2,338.09999999999997,347.09999999999997,358.7,362.7
11,59,71,6,1.0,low_cue,low_stim,1.0,1.0,1.9,4.0,0.8,9.0,11.6,4.0,l014.png,28,diff,28_50_R.jpg,363.7,364.7,366.59999999999997,370.59999999999997,371.4,380.4,392.0,396.0
