,Unnamed: 0,index,block,trial_type,cue,stimulus_intensity,ITI,Event1Dur,ISI1,Event2Dur,ISI2,Event3Dur,ISI3,Event4Dur,cue_image,stim_num,same_diff,image_filename,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,56,48,5,1.0,low_cue,low_stim,7.8,1.0,0.7,4.0,4.8,9.0,1.0,4.0,l017.png,24,diff,24_50_R.jpg,7.8,8.8,9.5,13.5,18.3,27.3,28.3,32.3
1,68,49,5,2.0,low_cue,med_stim,0.6,1.0,1.3,4.0,1.8,9.0,3.5,4.0,l002.png,45,diff,45_100_R.jpg,32.9,33.9,35.199999999999996,39.199999999999996,41.0,50.0,53.5,57.5
2,57,50,5,1.0,low_cue,low_stim,1.0,1.0,1.9,4.0,4.0,9.0,5.1,4.0,l006.png,9,same,9_50.jpg,58.5,59.5,61.4,65.4,69.4,78.4,83.5,87.5
3,44,51,5,3.0,low_cue,high_stim,1.0,1.0,1.4,4.0,2.1,9.0,3.5,4.0,l016.png,9,same,9_150.jpg,88.5,89.5,90.9,94.9,97.0,106.0,109.5,113.5
4,32,52,5,5.0,high_cue,med_stim,3.7,1.0,1.9,4.0,4.9,9.0,2.0,4.0,h024.png,45,same,45_100.jpg,117.2,118.2,120.1,124.1,129.0,138.0,140.0,144.0
5,8,53,5,6.0,high_cue,high_stim,7.1,1.0,0.9,4.0,8.0,9.0,7.4,4.0,h052.png,24,same,24_150.jpg,151.1,152.1,153.0,157.0,165.0,174.0,181.4,185.4
6,33,54,5,5.0,high_cue,med_stim,6.0,1.0,1.8,4.0,3.2,9.0,1.0,4.0,h027.png,34,diff,34_100_R.jpg,191.4,192.4,194.20000000000002,198.20000000000002,201.4,210.4,211.4,215.4
7,20,55,5,4.0,high_cue,low_stim,1.0,1.0,1.9,4.0,6.4,9.0,1.2,4.0,h037.png,48,same,48_50.jpg,216.4,217.4,219.3,223.3,229.70000000000002,238.70000000000002,239.9,243.9
8,21,56,5,4.0,high_cue,low_stim,4.7,1.0,1.4,4.0,6.9,9.0,7.1,4.0,h002.png,43,same,43_50.jpg,248.6,249.6,251.0,255.0,261.9,270.9,278.0,282.0
9,9,57,5,6.0,high_cue,high_stim,1.0,1.0,2.2,4.0,3.0,9.0,6.3,4.0,h044.png,23,same,23_150.jpg,283.0,284.0,286.2,290.2,293.2,302.2,308.5,312.5
10,69,58,5,2.0,low_cue,med_stim,10.9,1.0,0.9,4.0,8.3,9.0,3.9,4.0,l031.png,34,same,34_100.jpg,323.4,324.4,325.3,329.3,337.6,346.6,350.5,354.5
11,45,59,5,3.0,low_cue,high_stim,9.1,1.0,1.8,4.0,0.6,9.0,12.0,4.0,l042.png,22,same,22_150.jpg,363.6,364.6,366.4,370.4,371.0,380.0,392.0,396.0
