,Unnamed: 0,index,block,trial_type,cue,stimulus_intensity,ITI,Event1Dur,ISI1,Event2Dur,ISI2,Event3Dur,ISI3,Event4Dur,cue_image,stim_num,same_diff,image_filename,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,48,0,1,1.0,low_cue,low_stim,11.4,1.0,0.8,4.0,0.6,9.0,5.7,4.0,l047.png,47,same,47_50.jpg,11.4,12.4,13.200000000000001,17.200000000000003,17.800000000000004,26.800000000000004,32.50000000000001,36.50000000000001
1,60,1,1,2.0,low_cue,med_stim,1.3,1.0,2.0,4.0,0.6,9.0,6.5,4.0,l031.png,27,same,27_100.jpg,37.800000000000004,38.800000000000004,40.800000000000004,44.80000000000001,45.400000000000006,54.400000000000006,60.900000000000006,64.9
2,24,2,1,5.0,high_cue,med_stim,4.5,1.0,2.0,4.0,4.9,9.0,2.8,4.0,h026.png,47,diff,47_100_R.jpg,69.4,70.4,72.4,76.4,81.30000000000001,90.30000000000001,93.10000000000001,97.10000000000001
3,36,3,1,3.0,low_cue,high_stim,9.1,1.0,0.9,4.0,3.4,9.0,3.2,4.0,l040.png,10,same,10_150.jpg,106.2,107.2,108.10000000000001,112.10000000000001,115.5,124.5,127.7,131.7
4,25,4,1,5.0,high_cue,med_stim,10.6,1.0,0.7,4.0,2.5,9.0,4.2,4.0,h004.png,38,same,38_100.jpg,142.29999999999998,143.29999999999998,144.0,148.0,150.5,159.5,163.7,167.7
5,37,5,1,3.0,low_cue,high_stim,0.9,1.0,2.1,4.0,2.2,9.0,4.8,4.0,l055.png,11,same,11_150.jpg,168.6,169.6,171.7,175.7,177.89999999999998,186.89999999999998,191.7,195.7
6,49,6,1,1.0,low_cue,low_stim,1.3,1.0,2.0,4.0,9.4,9.0,5.9,4.0,l054.png,11,same,11_50.jpg,197.0,198.0,200.0,204.0,213.39999999999998,222.39999999999998,228.29999999999998,232.29999999999998
7,0,7,1,6.0,high_cue,high_stim,1.7,1.0,0.7,4.0,0.8,9.0,3.2,4.0,h044.png,5,same,5_150.jpg,233.99999999999997,234.99999999999997,235.7,239.7,240.49999999999997,249.5,252.7,256.7
8,1,8,1,6.0,high_cue,high_stim,4.7,1.0,2.0,4.0,6.3,9.0,4.0,4.0,h022.png,38,same,38_150.jpg,261.4,262.4,264.4,268.4,274.7,283.7,287.7,291.7
9,12,9,1,4.0,high_cue,low_stim,3.9,1.0,1.8,4.0,14.7,9.0,2.2,4.0,h012.png,47,diff,47_50_R.jpg,295.59999999999997,296.59999999999997,298.4,302.4,317.09999999999997,326.09999999999997,328.3,332.3
10,13,10,1,4.0,high_cue,low_stim,0.9,1.0,1.9,4.0,0.8,9.0,6.7,4.0,h048.png,38,same,38_50.jpg,333.2,334.2,336.1,340.1,340.90000000000003,349.90000000000003,356.6,360.6
11,61,11,1,2.0,low_cue,med_stim,3.6,1.0,0.9,4.0,7.6,9.0,5.0,4.0,l033.png,10,same,10_100.jpg,364.20000000000005,365.20000000000005,366.1,370.1,377.70000000000005,386.70000000000005,391.70000000000005,395.70000000000005
